genre,id,name,sinopsis,tags,rawg_id,released,rating,ratings_count,background_image,is_nintendo_switch
Adventure,9234,A Space for the Unbound,"A Space for the Unbound is an adventure game for the Nintendo Switch. It is ranked #342 on the all-time Top Rated Switch games,  with a total of 8 reviews  and an average score of 8.46.","['Supernatural', 'Full controller support', 'Surreal', 'Приключение', 'Исследование', 'Зарубежный', 'Foreign', 'Story Rich', 'Глубокий сюжет', 'Relaxing', 'Psychological', 'Exploration', 'Pixel art', 'Сверхъестественное', ""1990's"", 'Singleplayer', 'Инди', 'Side Scroller', 'Great Soundtrack', '2D', 'Adventure', 'philosophical', 'Action adventure', 'Pixel Graphics', 'Atmospheric', 'Атмосфера', '90-е', 'Психологическая', 'Отличный саундтрек', 'Расслабляющая', 'Сюрреалистичная', 'Эмоциональная', 'Emotional', 'Пиксельная графика', 'Философская', 'Для одного игрока']",428664.0,2023-01-19,4.43,28.0,https://media.rawg.io/media/games/c18/c180a02a53ce8c8cf23f11f182184103.jpg,True
Adventure,7842,Card Shark,"Card Shark is an adventure game for the Nintendo Switch. It is ranked #342 on the all-time Top Rated Switch games,  with a total of 12 reviews  and an average score of 8.46.","['Азартная', 'Full controller support', 'Интерактивная литература', 'Историческая', 'Narration', 'Приключение', 'Тайна', 'Stylized', 'shark', 'Карточная игра', 'solitaire', 'Point & Click', 'Story Rich', 'Глубокий сюжет', 'Альтернативная история', 'Interactive Fiction', 'Steam Cloud', 'Quick-Time Events', 'Обучение', 'Симулятор', 'Повествовательная', 'Singleplayer', 'Инди', 'Card Game', 'qte', 'Gambling', 'Drawing / painting', 'Steam Achievements', '2D', 'Рисованная графика', 'Adventure', 'Ролевая игра', 'console', 'Steam Trading Cards', 'Alternate History', 'casino', 'Atmospheric', 'RPG', 'Атмосферная', 'Historical', 'Mystery', 'Stealth', 'Стелс', 'Tutorial', 'Hand-drawn', 'Cards', 'Стилизация']",481904.0,2022-06-02,3.98,46.0,https://media.rawg.io/media/games/c92/c92dfd4ae234a19f7c010020c28e4ffb.jpg,True
Adventure,10555,The Cosmic Wheel Sisterhood,"The Cosmic Wheel Sisterhood is an adventure game for the Nintendo Switch. It is ranked #342 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.46.","['Full controller support', 'Интерактивная литература', 'Приключение', 'Тайна', 'Цветастая', 'cosmic', 'No tags', 'Магия', 'Story Rich', 'Глубокий сюжет', 'Space', 'Фэнтези', 'Interactive Fiction', 'Steam Cloud', 'Story', 'Повествование', 'Протагонистка', 'Визуальная новелла', 'Singleplayer', 'Инди', 'Sexual Content', 'Magic', 'Steam Achievements', '2D', 'witches', 'asteroid', 'Colorful', 'Visual Novel', 'LGBTQ+', 'Narrative', 'Choices Matter', 'characters', 'Building', 'Pixel Graphics', 'Music', 'ЛГБТК+', 'Female Protagonist', 'witch', 'Mystery', 'creature', 'friends', 'art', 'Сексуальный контент', 'Fantasy', 'Пиксельная графика', 'Решения с последствиями', 'Казуальная игра', 'Для одного игрока', 'community']",960085.0,2023-08-16,4.12,26.0,https://media.rawg.io/media/games/188/18854188b152f4fe0eb61f650d41ef6b.jpg,True
Adventure,11880,Snufkin: Melody of Moominvalley,"Snufkin: Melody of Moominvalley is an adventure game for the Nintendo Switch. It is ranked #355 on the all-time Top Rated Switch games,  with a total of 8 reviews  and an average score of 8.45.","['Full controller support', 'Hidden Object', 'Cute', 'Головоломка', 'Приключение', 'Цветастая', 'Stylized', 'Open World', 'No tags', 'Life Sim', 'Природа', 'Story Rich', 'Глубокий сюжет', 'Relaxing', 'Менеджмент инвентаря', 'Уютная', 'Steam Cloud', 'Душевная', 'Exploration', 'Милая', 'Singleplayer', 'Inventory Management', 'Для всей семьи', 'Симулятор жизни', 'Steam Achievements', '2D', 'Cozy', 'Colorful', 'Ролевая игра', 'Family Friendly', 'Atmospheric', 'Family Sharing', 'wholesome', 'RPG', 'Атмосферная', 'Music', 'Музыка', 'Открытый мир', 'Расслабляющая', 'nature', 'Stealth', 'Поиск предметов', 'Казуальная игра', 'Hand-drawn', 'Стилизация']",959920.0,2024-03-07,4.14,20.0,https://media.rawg.io/media/games/b39/b3981eb418efc2472847660e34a6517f.jpg,True
Adventure,6484,TOEM,"TOEM is an adventure game for the Nintendo Switch. It is ranked #355 on the all-time Top Rated Switch games,  with a total of 10 reviews  and an average score of 8.45.","['Casual', 'Full controller support', 'Hidden Object', 'Cute', 'Головоломка', 'Feel Good', 'Приключение', 'Stylized', 'Point & Click', 'Природа', 'Relaxing', 'Смешная', 'Мультфильмы', 'Exploration', 'Милая', 'Обработка фото', 'Singleplayer', 'Monochrome', 'Для всей семьи', 'Hand-drawn', 'Cartoon', 'Photo Editing', 'Steam Achievements', '2D', 'Рисованная графика', 'Adventure', 'Саундтрек', 'Family Friendly', 'Atmospheric', 'Fantastic', 'Атмосферная', 'Music', 'Исследования', 'Photography', 'Расслабляющая', 'Музыка', 'Soundtrack', 'nature', 'Поиск предметов', 'Казуальная игра', 'Для одного игрока', 'Funny', 'Стилизация']",482920.0,2021-09-16,4.09,90.0,https://media.rawg.io/media/games/1e5/1e59099701f55d861ae26905164156fa.jpg,True
Adventure,8579,The Spirit and the Mouse,"The Spirit and the Mouse is an adventure game for the Nintendo Switch. It is ranked #363 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.44.","['Full controller support', 'Cute', 'Головоломка', '3D', 'Приключение', 'Цветастая', 'puzzles', 'Open World', 'Third Person', 'Story Rich', 'Глубокий сюжет', 'Фэнтези', 'Steam Cloud', 'Протагонистка', 'Exploration', 'Повествование', 'Puzzle Platformer', 'Милая', 'Головоломка-платформер', 'Singleplayer', 'Инди', 'Платформер', 'Steam Achievements', '3D Platformer', 'Adventure', 'Platformer', 'Colorful', 'Narrative', 'secrets', 'Коллектатон', 'collect', 'Atmospheric', 'Fantastic', 'collectathon', 'Атмосферная', 'Female Protagonist', 'Открытый мир', 'Cartoon / comics', 'spirit', 'Эмоциональная', 'Fantasy', 'Emotional', 'journey', '3D-платформер', 'Для одного игрока', 'Исследования', 'Family friendly']",830270.0,2022-09-26,3.86,7.0,https://media.rawg.io/media/screenshots/657/657fd8a0bf4f78006081bc523c5f5c57.jpg,True
Adventure,4761,Röki,"Röki is an adventure game for the Nintendo Switch. It is ranked #389 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.40.","['Drawing / painting', 'Steam Achievements', 'Full controller support', 'Adventure', 'Exploration', 'Атмосфера', 'Казуальная игра', 'snow', 'Приключение', 'Low-poly', 'Puzzle', 'Atmospheric', 'Singleplayer', 'Женщина-протагонист', 'Инди', 'Nordic', 'Female Protagonist', 'Side Scroller']",326221.0,2020-07-23,4.19,56.0,https://media.rawg.io/media/games/8ea/8eafa15945b94ce0f4e90f5db6fda419.jpg,True
Adventure,9069,Lil Gator Game,"Lil Gator Game is an adventure game for the Nintendo Switch. It is ranked #428 on the all-time Top Rated Switch games,  with a total of 12 reviews  and an average score of 8.36.","['Full controller support', 'Cute', 'Feel Good', '3D', 'Приключение', 'От третьего лица', 'Цветастая', 'Short', 'Third Person', 'Relaxing', 'Смешная', 'No fail state', 'Steam Cloud', 'Душевная', 'Милая', 'Короткая', 'Приключенческий экшен', 'Singleplayer', 'Юмор', 'Инди', 'Funny', 'Для всей семьи', 'Steam Achievements', '3D Platformer', 'Comedy', 'Adventure', 'Platformer', 'Ролевая игра', 'Colorful', 'LGBTQ+', 'Cozy', 'Family Friendly', 'Коллектатон', 'wholesome', 'collectathon', 'RPG', 'ЛГБТК+', 'Расслабляющая', 'Cartoon / comics', 'Action-Adventure', 'Fantasy', 'Казуальная игра', '3D-платформер', 'Для одного игрока', 'Casual', 'Уютная']",894438.0,2022-12-14,4.15,25.0,https://media.rawg.io/media/games/376/37628262db021ad21f81ec8d4b0ded03.jpg,True
Adventure,7323,What Lies in the Multiverse,"What Lies in the Multiverse is an adventure game for the Nintendo Switch. It is ranked #438 on the all-time Top Rated Switch games,  with a total of 6 reviews  and an average score of 8.35.","['Для взрослых', 'Psychedelic', 'Dark Humor', 'Чёрная комедия', 'Gravity', 'Путешествия во времени', 'Психоделия', 'Головоломка', 'Partial Controller Support', 'chaos', 'Сатира', 'Приключение', 'Цветастая', 'Stylized', 'Story Rich', 'Глубокий сюжет', 'Смешная', 'Steam Cloud', 'Story', 'Exploration', 'Чёрный юмор', 'Pixel art', 'Повествование', 'Головоломка-платформер', 'Puzzle platformer', 'Time Travel', 'Puzzle Platformer', 'unique', 'Singleplayer', 'Юмор', 'Side Scroller', 'Interactive story', 'kid', 'Steam Achievements', 'Science Fiction', 'Adventure', 'Comedy', 'Colorful', 'Контроль времени', 'Time Manipulation', 'Narrative', 'Mature', 'secrets', 'Dark Comedy', 'Pixel Graphics', 'Fantastic', 'Satire', 'Исследования', 'race', 'nature', '2D-платформер', 'art', '2D Platformer', 'journey', 'Пиксельная графика', 'Для одного игрока', 'Funny', 'Стилизация']",724096.0,2022-03-04,0.0,3.0,https://media.rawg.io/media/screenshots/db5/db5a6dce979d08d44f79cb9758d41526.jpg,True
Adventure,1219,The Walking Dead: The Final Season,"The Walking Dead: The Final Season is an adventure game for the Nintendo Switch. It is ranked #452 on the all-time Top Rated Switch games,  with a total of 3 reviews  and an average score of 8.33. It is part of The Walking Dead series.","['Для взрослых', 'Full controller support', 'Violent', 'Насилие', 'Survival', 'Приключение', 'Drama', 'Зомби', 'Point & Click', 'Story Rich', 'Глубокий сюжет', 'Choose Your Own Adventure', 'Gore', 'Horror', 'Zombies', 'Episodic', 'Post-apocalyptic', 'Singleplayer', 'Драма', 'Comic Book', 'По комиксу', 'Свобода выбора', 'Для нескольких игроков', 'Adventure', 'Choices Matter', 'Mature', 'Пост-апокалипсис', 'Atmospheric', 'Атмосфера', 'Сериал', 'Экшен', 'Female Protagonist', 'Выживание', 'Multiplayer', 'Action-Adventure', 'Мясо', 'Story choices', 'Text-heavy', 'Решения с последствиями', 'Женщина-протагонист', 'Для одного игрока']",58783.0,2018-08-13,4.18,449.0,https://media.rawg.io/media/games/6c1/6c1eecf30e3c34e79bbf86698b1e6515.jpg,True
