epoch,loss,step
0,4.215849876403809,49
0,4.4932098388671875,99
1,4.12831974029541,149
1,4.075641632080078,199
1,4.070959568023682,249
2,3.942905902862549,299
2,3.6940135955810547,349
2,3.987238645553589,399
3,3.8748512268066406,449
3,3.762061357498169,499
3,3.799330711364746,549
4,3.6441874504089355,599
4,3.70289945602417,649
4,3.4585838317871094,699
